Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,,,,-36.40,33.45,-28.93,51.48,-5.16,-7.91,18.07,-19.77,-37.68,-68.18,393.81,41.66,215.38,64.77,-71.60,-72.23,193.02
Australia,-0.61,10.64,-4.67,-3.73,-27.71,4.46,1.67,-7.15,121.27,-29.86,-33.97,10.41,34.10,-13.65,13.43,4.66,-19.85,-2.78,6.76,68.54
Bolivia,,,,,,,,,,,,,,,,,,,,
Canada,-19.22,19.83,-27.72,-7.75,0.00,-0.89,1.40,-9.47,-3.85,32.51,-18.58,-9.08,11.41,21.25,3.55,2.36,-8.42,-13.25,-1.82,24.97
Egypt,,,,,,,,,,,380.42,624.70,520.73,-94.04,-22.44,-52.47,1.71,2.37,-7.86,-25.38
Greece,-20.85,-17.16,5.03,8.00,40.87,-4.83,-22.79,-61.77,138.80,96.20,182.16,-37.30,-39.40,-92.93,-27.17,132.84,731.41,-19.55,19.12,37.57
Guatemala,,,,,,,,,,,,,,,,,,,,
Ireland,,,-15.00,-9.40,8.55,0.41,-17.19,-44.15,12582.29,71.32,0.00,-97.96,32.98,-6.53,-44.56,-19.92,21.81,-16.14,13.45,184.84
Italy,,,,42.25,-43.69,23.22,0.22,-24.42,97.20,-27.92,-15.47,9.07,1433.85,-16.90,5.89,-72.50,-50.22,-52.49,8.72,174.33
Japan,-30.80,779.37,-83.91,-60.06,-13.23,12.35,-10.57,-21.41,42.87,6.57,-28.48,24.41,0.13,-11.44,5.16,-1.33,-9.94,-13.55,3.10,77.94
Jordan,,,,,,,,,249.35,276.50,303.34,-79.57,-67.28,8.88,31.94,14.85,11.09,-49.22,-20.18,69.23
Lebanon,,,,,,-50.58,-57.00,19.86,15.14,46.90,15.88,-3.94,3.95,3.07,2.27,-22.02,0.00,-1.78,-19.35,97.98
Mexico,19.73,3.23,8.22,-6.53,-22.36,20.42,17.31,-20.33,45.20,-21.70,29.95,16.39,9.12,4.06,17.95,-6.28,-24.68,-2.36,-21.79,44.33
Netherlands,490.72,805.71,-17.09,-98.23,-13.94,-4.56,0.97,-28.72,466.83,-53.19,-45.69,25.15,58.38,-2.84,3.45,43.47,-41.10,-22.28,8.86,343.63
Pakistan,,,,,,492.86,9.00,-12.23,4.79,-17.31,-10.95,-8.16,4.98,23.36,-3.93,-2.86,4.12,-0.47,-14.57,3.54
Philippines,-2.55,188.64,-91.13,-30.61,-11.06,-1.88,6.48,-12.73,13.48,-12.93,18.62,22.60,6.95,6.04,2.77,1.75,1.26,-9.47,-6.70,8.11
Spain,,,-0.09,-30.43,-9.29,-1.33,-1.28,-24.86,4.89,-3.11,-12.55,75.30,37.17,-6.55,-12.19,-3.12,-55.93,56.34,6.88,44.75
Switzerland,,,26.93,-52.05,-8.65,4.26,-7.59,175.54,34.96,-74.62,-4.55,16.57,12.26,3.64,-2.80,42.12,-7.70,1.24,-13.57,1.51
Turkey,,,,,137.77,39.08,-39.57,-34.69,60.33,-7.46,2.29,0.63,-4.36,9.77,-5.00,-13.02,0.51,-21.02,1.03,23.53
United Kingdom,,,-51.47,-43.58,-33.37,11.69,-13.55,-2.53,284.91,-67.90,-24.55,2.53,43.22,7.18,30.29,93.26,-43.94,-37.10,0.82,275.68
United States,-11.07,-4.21,-12.51,-4.92,-6.86,-5.89,1.63,3.26,6.08,-12.17,-8.99,-2.37,12.06,9.83,3.38,7.35,8.02,-7.19,-1.62,23.51
Venezuela,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,
Poland,,,-90.14,-67.99,-45.07,21.41,21.04,-36.42,374.17,-72.74,-20.61,-20.67,54.57,56.15,4.09,91.50,-57.33,-29.22,12.06,70.58
Sweden,-4.40,87.01,44.84,-73.89,-19.70,-8.52,0.30,-12.39,24.40,24.26,-28.83,10.27,13.93,4.74,1.73,16.16,-14.11,2.35,-0.06,-4.48
Austria,-19.23,-3.41,4.01,2.87,-7.36,3.77,-0.20,-39.75,160.15,-20.97,-11.05,10.80,1.68,274.37,4.24,-62.96,-35.09,-28.73,-16.81,38.60
El Salvador,,,,,,,,,,,,,,,,,,,,
France,,960.17,-34.16,-91.44,-35.80,13.94,6.78,-18.50,105.33,-35.09,-29.16,15.34,57.00,25.06,-7.25,-5.34,-17.00,-10.00,15.34,90.47
Panama,,,,,,,,,,,,,,,,,,,,
Portugal,44.56,9.66,0.53,-12.99,-4.70,-24.49,22.14,-15.61,26.10,-25.84,10.53,765.30,-66.03,2.55,31.86,84.12,-77.27,21.34,-46.12,26.74
Thailand,,,-14.52,-0.07,-27.69,3.24,43.28,-15.75,62.52,-33.37,-5.48,31.85,-0.12,4.95,18.05,-10.47,-7.83,0.83,7.55,19.42
Ecuador,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,1804.49,10.56,-33.03,82.31,-39.90,33.45,-19.13,10.38,1.59,-0.54,9.73,14.81,7.43,5.00,-5.14
Morocco,,,,,,,349.11,-1.05,17.64,-34.12,-11.28,-8.36,-7.55,20.79,60.11,-15.33,-12.70,-8.48,-6.67,26.23
New Zealand,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,23.37,-2.92,41.46,21.21,-13.70
SIngapore,,,,,,,,,63.83,-25.79,-24.83,21.18,20.86,2.95,5.96,-16.31,-1.08,-4.19,11.37,29.62
South Africa,-12.41,48.47,-29.72,17.52,-19.89,15.57,-9.29,-0.70,7.24,28.34,-27.63,5.93,41.72,-8.27,45.98,18.36,-31.76,-15.09,-4.07,25.58
South Korea,32.74,-90.09,-64.65,-70.96,-7.40,23.99,31.01,-13.42,86.37,-55.62,7.82,46.72,17.86,26.82,-37.67,-1.85,-6.97,-23.93,30.54,71.53
Kenya,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,
Indonesia,,1187.91,-76.93,37.51,20.96,11.57,14.64,-26.89,92.86,-33.88,-2.94,7.31,6.98,8.86,14.91,7.28,-13.95,-5.86,-1.47,13.01
Denmark,-50.16,35.42,-31.93,-14.68,-12.61,33.25,10.51,-23.77,97.82,-2.32,-31.14,18.45,5.84,3.41,19.79,8.00,-24.41,-5.91,6.97,33.01
Norway,,452.69,-38.23,-73.64,-8.90,0.07,22.24,-29.62,321.38,21.67,-89.17,109.10,73.45,-33.79,475.02,64.08,120.91,-91.80,-19.75,330.05
Tunisia,,,,,,,,94.38,-58.45,37.36,-2.61,56.22,37.53,28.78,-58.17,-8.12,-11.55,9.82,1.22,-5.02
Uganda,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,1496.53,12.27,51.92,173.98,-63.59,-79.34,5.87
Swaziland,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,-95.44,58.19,12.74,0.42,9.39,-13.92,-1.66,10.46,23.12,430.48
Romania,,,,,,,-49.74,-58.01,-77.93,3679.15,-91.44,-12.35,52.37,-22.34,36.14,24.85,-35.46,-12.68,-14.08,17.29
Finland,,120.31,-22.09,-22.26,-15.69,18.33,-10.09,-12.34,169.77,-35.25,-36.74,125.88,4.33,-20.33,-20.64,-6.02,5.49,-0.32,-5.77,-2.04
Ghana,,,,,,,,,,,,29.13,59.34,806.23,-29.96,0.00,0.00,-63.55,-77.37,-7.37
Hungary,-19.41,8.05,-24.06,3.27,6.88,-10.84,17.19,-37.03,40.41,19.43,-14.97,62.55,-18.71,467.42,12.16,60.13,-92.94,-0.38,-1.72,32.30
Germany,-16.96,149.49,137.47,-82.18,-43.40,-7.60,-1.86,-3.72,175.17,-59.28,-22.03,16.29,22.58,7.84,7.50,1.99,-3.03,-22.80,36.40,88.07
Armenia,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,172.90,-56.60,-24.62,164.27,-50.67,13.56,11507.59,-94.14,-79.91,28.99,-15.62,-37.73,8.27,137.69
Georgia,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,146.08,44.84,-44.64,727.50,-7.06,-77.06,-27.87,-0.86,25.22,-24.37,-22.03,1.73,-81.25,607.14,4.92
Ukraine,,,,,,,,,,,,,,,,,,,,
Estonia,,,,35.26,13.73,-21.75,-11.16,-27.40,238.33,-6.63,-64.63,20.69,15.25,2.39,-14.82,24.59,5.09,11.78,9.78,184.91
Latvia,,,,,,431.90,-60.91,-45.11,84.89,56.45,0.00,7735.40,-98.36,117.68,-23.23,5.04,-34.09,-53.13,8.55,6.70
Vietnam,,,,,,,29.80,-58.91,16.37,-27.75,-15.40,16.32,16.37,11.90,-13.05,18.19,8.80,12.85,-12.37,-8.49
Czech Republic,,,,,,,27.31,-36.68,90.45,-32.69,39.07,154.02,-57.97,3487.08,-76.76,-91.46,-21.28,16.30,-13.07,0.92
Macedonia,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,91.70,-32.31,1025.82,-87.74,125.98,356.77,162.71,-97.87,-20.87,-6.93,2.25,5.75,-28.38,-10.13
